"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Characters/Mannequin_UE4/Materials/M_Latex_Usable.M_Latex_Usable","0","14","0","1","0.000000","0","0"
"/Game/MetaHumans/Common/Face/Materials/M_lacrimal_fluid.M_lacrimal_fluid","0","85","0","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","62","65","1","79.602654","0","65"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","28","28","2","47.934723","0","28"
"/Game/MetaHumans/Common/Materials/M_fabric_simpler.M_fabric_simpler","0","411","456","3","744.669312","0","456"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","94","100","1","133.092422","0","100"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","62","65","1","0.000000","0","65"
"/Game/ModelsStudio/Metal_002.Metal_002","0","14","14","1","14.705951","0","14"
"/Game/ModelsStudio/Black_001.Black_001","0","14","14","1","0.000000","0","14"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","2.888238","0","4"
"/Game/MetaHumans/Common/Materials/M_hair_v4.M_hair_v4","0","188","200","2","315.666260","0","300"
"/Game/MetaHumans/Common/Materials/M_Facial_Hair.M_Facial_Hair","0","77","80","1","437.258026","0","160"
"/Game/MetaHumans/Common/Face/Materials/Baked/M_Head_Baked.M_Head_Baked","0","210","219","3","391.162384","0","219"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","20.791126","0","14"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","47","47","1","62.749706","0","47"
"/Game/PN_interactiveSpruceForest/UE4_Mannequin/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","158","170","2","237.544189","0","170"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","158","170","2","194.578461","0","170"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","385","400","6","1435.659668","0","400"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","2.183623","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","32.939953","0","26"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","47","47","1","55.017540","0","47"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","47","47","1","0.000000","0","47"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","33.696316","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","7.001626","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","50","2","68.631973","0","50"
"/Game/MetaHumans/Common/Materials/M_Teeth.M_Teeth","0","47","47","1","60.948055","0","47"
"/Game/MetaHumans/Common/Materials/M_PeachFuzzMaster.M_PeachFuzzMaster","0","94","100","1","123.794563","0","100"
"/Game/MetaHumans/Common/Materials/M_jeans_nrm_custom_master.M_jeans_nrm_custom_master","0","112","118","2","203.863480","0","118"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","0.000000","0","14"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","7","7","1","3.682912","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","7","7","1","2.824387","0","7"
"/Interchange/gltf/M_Unlit.M_Unlit","0","171","186","6","245.533600","0","186"
"/Game/MetaHumans/Common/Materials/M_Eyelashes_Cards.M_Eyelashes_Cards","0","77","80","1","802.899963","0","80"
"/Interchange/gltf/M_Transmission.M_Transmission","0","160","160","2","3426.080566","0","160"
"/Interchange/gltf/M_Sheen.M_Sheen","0","385","400","6","1371.503662","0","400"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","3.449680","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","3.378996","0","5"
"/Game/Materials/KartMaterial/Blackmonkey.Blackmonkey","0","14","0","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","38","38","1","57.368984","0","38"
"/Game/Houses/House2/Material_002.Material_002","0","23","23","1","12.952914","0","23"
"/Game/Houses/House1/material_0.material_0","0","23","23","1","0.000000","0","23"
"/Game/Houses/House1/material.material","0","23","23","1","0.000000","0","23"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","385","400","6","1345.338257","0","400"
"/Interchange/gltf/M_Default.M_Default","0","648","668","6","3134.886963","0","668"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","46.197121","0","45"
"/Game/FoliageLandscape/WildGrass/Billboard.Billboard","0","14","14","1","0.000000","0","14"
"/Game/FoliageLandscape/KikuyuGrass/Billboard.Billboard","0","14","14","1","0.000000","0","14"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","10","11","1","18.499521","0","11"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_GroundWinter.MA_GroundWinter","0","23","23","1","40.607048","0","23"
"/ControlRig/M_Manip.M_Manip","0","10","11","1","12.674525","0","11"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Imposter.MA_Imposter","0","252","264","3","568.215637","0","264"
"/Game/MetaHumans/Common/Face/Materials/M_EyeOcclusion.M_EyeOcclusion","0","11","11","1","16.359179","0","11"
"/Game/MetaHumans/Common/Face/Materials/M_Cartilage.M_Cartilage","0","47","53","1","82.702347","0","53"
"/Game/ModelsStudio/White_002.White_002","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_9_001.Studio_Setup_Mtl_9_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_8_001.Studio_Setup_Mtl_8_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_7_001.Studio_Setup_Mtl_7_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_6_001.Studio_Setup_Mtl_6_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_5_001.Studio_Setup_Mtl_5_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_4_001.Studio_Setup_Mtl_4_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_3_001.Studio_Setup_Mtl_3_001","0","14","14","1","0.000000","0","14"
"/Game/ModelsStudio/Studio_Setup_Mtl_2_001.Studio_Setup_Mtl_2_001","0","14","14","1","0.000000","0","14"
