"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5855","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","65","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","16.900019","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","12.031350","0","16"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_GroundSummer.MA_GroundSummer","0","23","23","1","34.281509","0","23"
"/Game/MOON/Moon.Moon","0","14","14","1","18.381290","0","14"
"/Game/MOON/Moon-Textura_Mat.Moon-Textura_Mat","0","14","14","1","15.696445","0","14"
"/Game/Houses/House1/WindowMetal.WindowMetal","0","14","14","1","0.000000","0","14"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","5.463634","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","2.765876","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","20","1","38.510052","0","20"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","14.233060","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","8.471617","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","4.753673","0","4"
"/Game/Houses/House1/Gutter.Gutter","0","14","14","1","0.000000","0","14"
"/Game/Houses/House1/Glass01.Glass01","0","14","14","1","0.000000","0","14"
"/Game/Houses/House1/Door.Door","0","14","14","1","0.000000","0","14"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","29","1","40.711571","0","29"
"/Game/MetaHumans/Common/Materials/M_BodySkin.M_BodySkin","0","70","73","1","122.051422","0","73"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","0","16","16","2","15.834877","0","16"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","0","8","8","1","12.420398","0","8"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","57","62","6","83.175621","0","62"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","0","7","7","1","5.792374","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","7","7","1","3.491691","0","7"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","82","88","2","328.723816","0","264"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","385","400","6","1441.796143","0","400"
"/Interchange/gltf/M_Default.M_Default","0","524","428","6","2325.736328","0","428"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Imposter.MA_Imposter","0","252","264","3","607.900452","0","176"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Winter.MA_Winter","0","1008","1056","12","4574.307617","0","1056"
"/Interchange/gltf/M_Sheen.M_Sheen","0","385","400","6","1566.625977","0","603"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","38","38","1","74.696045","0","38"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","67","1","142.420029","0","67"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","10","11","1","14.529256","0","11"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","8.843857","0","8"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Summer.MA_Summer","0","1008","1056","12","5133.863770","0","1056"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","69","69","3","185.265106","0","161"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","28","28","2","66.605820","0","56"
"/Game/MetaHumans/Common/Materials/M_fabric_simpler.M_fabric_simpler","0","411","456","3","1017.037842","0","912"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","62","65","1","112.518829","0","65"
"/Game/MetaHumans/Common/Materials/M_Teeth.M_Teeth","0","47","47","1","95.810097","0","94"
"/Game/MetaHumans/Common/Materials/M_PeachFuzzMaster.M_PeachFuzzMaster","0","94","100","1","188.613800","0","200"
"/Game/MetaHumans/Common/Materials/M_jeans_nrm_custom_master.M_jeans_nrm_custom_master","0","112","118","2","305.950500","0","236"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","94","100","1","182.181595","0","100"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","62","65","1","0.000000","0","65"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","30.197594","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","3.332343","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","49.989925","0","26"
"/Game/Materials/Grass.Grass","0","40","40","1","83.479218","14","228"
"/Game/MetaHumans/Common/Materials/M_hair_v4.M_hair_v4","0","188","200","2","470.434631","0","200"
"/Game/MetaHumans/Common/Materials/M_Facial_Hair.M_Facial_Hair","0","77","80","1","893.685242","0","240"
"/Game/MetaHumans/Common/Face/Materials/Baked/M_Head_Baked.M_Head_Baked","0","210","219","3","417.801147","0","219"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","22.695185","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","3.521396","0","5"
"/Game/MetaHumans/Common/Face/Materials/M_EyeOcclusion.M_EyeOcclusion","0","11","11","1","21.382853","0","22"
"/Game/MetaHumans/Common/Face/Materials/M_Cartilage.M_Cartilage","0","47","53","1","87.633743","0","106"
"/Interchange/gltf/M_Unlit.M_Unlit","0","171","186","6","343.280121","0","372"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","385","247","6","940.368286","0","321"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","4.768429","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","55.898769","0","45"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","38","38","1","71.063782","0","76"
"/Game/Houses/House2/Material_002.Material_002","0","14","14","1","0.000000","0","28"
"/Game/Houses/House1/material_0.material_0","0","14","14","1","0.000000","0","28"
"/Game/Houses/House1/material.material","0","14","14","1","0.000000","0","28"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","47","47","1","97.111305","0","47"
"/Game/MetaHumans/Common/Materials/M_Eyelashes_Cards.M_Eyelashes_Cards","0","77","80","1","1017.829834","0","160"
"/Interchange/gltf/M_Transmission.M_Transmission","0","142","142","2","2747.825684","0","142"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","7","7","1","5.541851","0","7"
"/Game/PN_interactiveSpruceForest/UE4_Mannequin/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","158","170","2","351.694031","0","170"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","158","170","2","274.630341","0","340"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_GroundWinter.MA_GroundWinter","0","23","23","1","48.641087","0","46"
"/Game/FoliageLandscape/WildGrass/Billboard.Billboard","0","14","14","1","0.000000","0","28"
"/Game/FoliageLandscape/KikuyuGrass/Billboard.Billboard","0","14","14","1","0.000000","0","28"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","10","11","1","20.428745","0","11"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","0","14","16","2","47.632538","0","16"
"/Game/MetaHumans/Common/Face/Materials/M_lacrimal_fluid.M_lacrimal_fluid","0","85","88","1","1804.492798","0","176"
"/Game/MetaHumans/Common/Controls/M_RigControlActor_Black.M_RigControlActor_Black","0","20","20","1","44.183327","0","40"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","9.148094","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","62","1","191.508270","0","62"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","88","1","248.986847","0","88"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","3.035691","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","1236.640259","0","100"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","47","47","1","65.488327","0","47"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","47","47","1","0.000000","0","47"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","53.877155","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","7.007581","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","50","2","74.848328","0","50"
"/ControlRig/M_Manip.M_Manip","0","10","11","1","11.953680","0","11"
"/Game/MetaHumans/Common/Face/Materials/M_EyeRefractive.M_EyeRefractive","0","47","47","1","210.644287","47","141"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","11","11","1","11.196455","0","11"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","109","109","1","195.266220","0","109"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","139","1","243.719467","0","139"
"/Game/Materials/Road.Road","0","14","14","1","16.934927","0","14"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","45","45","1","40.089668","0","45"
"/Game/StylizedKitchen/Materials/MM_Grass.MM_Grass","0","84","174","2","242.918854","124","262"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","12","12","1","12.596583","0","12"
"/Game/Houses/House2/Material_003.Material_003","0","14","14","1","18.226028","0","14"
"/Game/Houses/House1/Wood.Wood","0","14","14","1","0.000000","0","14"
"/Game/Houses/House1/roof.roof","0","14","14","1","0.000000","0","14"
"/Game/Houses/House1/Concrete02_basecolor.Concrete02_basecolor","0","14","14","1","0.000000","0","14"
"/Game/Houses/House1/Block02.Block02","0","14","14","1","0.000000","0","14"
"/Game/FoliageLandscape/WildGrass/Atlas.Atlas","0","28","28","1","36.662247","0","28"
"/Game/FoliageLandscape/StoneFlore/MatID_1.MatID_1","0","14","14","1","15.340515","0","14"
"/Game/FoliageLandscape/KikuyuGrass/Atlas.Atlas","0","28","28","1","0.000000","0","28"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","7","1","5.810963","0","7"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","94","100","1","145.745407","0","100"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","712","124","1","721.068115","121","1594"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","31","1","81.482353","0","31"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","0","7","7","1","7.033426","0","7"
"Globals","49","7032","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","3.299412","0","4"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","8","1","41.636230","0","16"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","18","20","1","98.621880","0","20"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","5","1","4.334001","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","5","1","3.734931","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","5.462877","0","4"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","8","1","10.484670","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","7","7","1","10.228675","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","29","31","1","34.525677","0","31"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","62","65","1","70.507721","0","65"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","38","38","1","45.233467","0","38"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","96","96","1","224.018906","0","96"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","10","11","1","7.468584","0","11"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","100","106","1","130.127472","0","106"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","62","65","1","0.000000","0","65"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","15","17","1","31.514732","0","17"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","5","1","2.710503","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","26","1","36.000202","0","26"
